序号	频率准确度	测试时间			
1	-1.41E-05	2013-12-14 8:36	0	19999999125	29
2	-1.35E-05	2013-12-14 8:36	0	19999998500	18
3	-1.25E-05	2013-12-14 8:36	0	20000000150	56
4	-1.12E-05	2013-12-14 8:36	0	19999999375	7b
5	-9.54E-06	2013-12-14 8:36	0	19999998925	31
6	-7.97E-06	2013-12-14 8:36	0	19999999025	28
7	-6.54E-06	2013-12-14 8:37	0	20000000000	7
8	-5.30E-06	2013-12-14 8:37	0	19999999375	7b
9	-4.25E-06	2013-12-14 8:37	0	19999999475	7c
10	-3.35E-06	2013-12-14 8:37	0	19999999625	2e
11	-2.60E-06	2013-12-14 8:37	0	19999999625	2e
12	-2.07E-06	2013-12-14 8:37	0	19999998950	44
13	-1.62E-06	2013-12-14 8:38	0	19999999600	0b
14	-1.26E-06	2013-12-14 8:38	0	19999999250	5f
15	-9.82E-07	2013-12-14 8:38	0	19999999450	59
16	-7.91E-07	2013-12-14 8:38	0	19999998950	44
17	-6.94E-07	2013-12-14 8:38	0	19999999125	29
18	-6.24E-07	2013-12-14 8:38	0	19999999075	78
19	-7.49E-07	2013-12-14 8:39	0	19999999350	5e
20	-6.99E-07	2013-12-14 8:39	0	19999999375	7b
21	-6.70E-07	2013-12-14 8:39	0	19999999350	5e
22	-6.49E-07	2013-12-14 8:39	0	19999999775	7f
23	-6.25E-07	2013-12-14 8:39	0	19999998000	1d
24	-5.94E-07	2013-12-14 8:39	0	19999999525	2d
25	-5.61E-07	2013-12-14 8:40	0	19999998650	4b
26	-5.29E-07	2013-12-14 8:40	0	19999998600	1b
27	-5.04E-07	2013-12-14 8:40	0	19999998525	3d
28	-4.28E-07	2013-12-14 8:40	0	19999999350	5e
29	-3.96E-07	2013-12-14 8:40	0	19999998950	44
30	-3.63E-07	2013-12-14 8:40	0	19999998400	19
31	-3.25E-07	2013-12-14 8:41	0	19999998825	30
32	-2.81E-07	2013-12-14 8:41	0	19999998925	31
33	-2.40E-07	2013-12-14 8:41	0	19999999000	0d
34	-2.03E-07	2013-12-14 8:41	0	19999998625	3e
35	-1.66E-07	2013-12-14 8:41	0	19999999200	0f
36	-1.24E-07	2013-12-14 8:41	0	19999999900	4
37	-5.90E-08	2013-12-14 8:42	0	19999999675	7e
38	3.45E-09	2013-12-14 8:42	0	19999999075	78
39	5.92E-08	2013-12-14 8:42	0	19999998650	4b
40	1.27E-08	2013-12-14 8:42	0	19999999300	0e
41	-1.75E-09	2013-12-14 8:42	0	19999999525	2d
42	-4.51E-10	2013-12-14 8:42	0	19999999200	0f
43	-5.76E-11	2013-12-14 8:43	0	19999999275	7a
44	3.61E-11	2013-12-14 8:43	0	19999999300	0e
45	4.55E-11	2013-12-14 8:43	0	19999999075	78
46	4.98E-11	2013-12-14 8:43	0	19999999200	0f
